Sex,Age,Height,Weight,Year,Season,HostCity,Sport,MedalType,AthleteCountry,HostRegion,AthleteRegion,SportType
M,28,168,54,1984,Summer,Los Angeles,Track&Field,Bronze,Others,North America,Africa,Race
M,25,176,78,1964,Summer,Tokyo,Rowing,Bronze,Czech Republic,Asia,Europe,Boat
F,25,158,48,2008,Summer,Beijing,Judo,Gold,Romania,Asia,Europe,Combat
M,19,173,75,1968,Winter,others,Hockey,Bronze,Canada,Europe,North America,Ice
M,31,182,90,1968,Summer,Mexico City,Wrestling,Gold,Russia,North America,Europe,Combat
M,21,184,84,1984,Winter,others,Hockey,Bronze,Sweden,Europe,Europe,Ice
M,21,190,91,2008,Summer,Beijing,Others,Gold,South Korea,Asia,Asia,Combat
F,23,168,55,1984,Summer,Los Angeles,Handball,Silver,South Korea,North America,Asia,Ball
M,27,181,71,2000,Summer,Sydney,Rowing,Silver,Italy,Oceania,Europe,Boat
M,24,176,65,1928,Summer,others,Track&Field,Bronze,Germany,Europe,Europe,Race
M,20,182,91,1952,Summer,others,Water Polo,Silver,Serbia,Europe,Europe,Water
M,22,178,70,1980,Summer,Moskva,Gymnastics,Gold,Russia,Europe,Europe,Acrobatic
M,25,175,65,1992,Summer,Barcelona,Others,Bronze,Japan,Europe,Asia,Ball
F,21,155,58,2016,Summer,Rio de Janeiro,Others,Gold,Others,South America,Asia,Others
F,23,166,60,2016,Summer,Rio de Janeiro,Track&Field,Silver,Others,South America,Africa,Race
M,26,177,70,1964,Summer,Tokyo,Equestrianism,Bronze,Germany,Asia,Europe,Others
M,23,184,77,1988,Summer,Seoul,Swimming,Bronze,New Zealand,Asia,Oceania,Water
M,26,185,73,1948,Summer,London,Track&Field,Bronze,Others,Europe,North America,Race
M,21,182,82,1960,Summer,Roma,Water Polo,Gold,Italy,Europe,Europe,Water
F,23,168,63,1964,Summer,Tokyo,Volleyball,Gold,Japan,Asia,Asia,Ball
M,25,173,63,2000,Summer,Sydney,Wrestling,Bronze,South Korea,Oceania,Asia,Combat
F,43,163,55,2010,Winter,Vancouver,Others,Silver,Canada,North America,North America,Ice
M,23,186,89,1980,Summer,Moskva,Rowing,Gold,Germany,Europe,Europe,Boat
F,28,182,104,2000,Summer,Sydney,Judo,Silver,Cuba,Oceania,North America,Combat
F,18,176,48,1996,Summer,Atlanta,Gymnastics,Silver,Bulgaria,North America,Europe,Acrobatic
M,30,193,87,2008,Summer,Beijing,Canoeing,Bronze,Australia,Asia,Oceania,Boat
M,21,171,63,1976,Summer,Montreal,Track&Field,Silver,Poland,North America,Europe,Race
M,30,178,86,1988,Winter,Calgary,Others,Bronze,Russia,North America,Europe,Ice
M,25,186,79,2014,Winter,Sochi,Skiing,Silver,Sweden,Europe,Europe,Snow
F,22,173,66,1988,Summer,Seoul,Canoeing,Bronze,Bulgaria,Asia,Europe,Boat
M,28,194,77,1948,Summer,London,Track&Field,Silver,Jamaica,Europe,North America,Race
M,23,182,86,2008,Summer,Beijing,Handball,Gold,France,Asia,Europe,Ball
M,30,183,86,1988,Winter,Calgary,Others,Silver,Germany,North America,Europe,Ice
M,23,182,82,1964,Summer,Tokyo,Rowing,Gold,Denmark,Asia,Europe,Boat
M,43,186,84,1928,Summer,others,Fencing,Silver,France,Europe,Europe,Combat
F,18,168,48,2008,Summer,Beijing,Gymnastics,Silver,China,Asia,Asia,Acrobatic
M,21,189,83,1976,Summer,Montreal,Rowing,Silver,Germany,North America,Europe,Boat
M,35,186,84,1920,Summer,others,Fencing,Gold,France,Europe,Europe,Combat
M,27,192,87,1988,Winter,Calgary,Hockey,Bronze,Sweden,North America,Europe,Ice
M,24,165,58,1960,Summer,Roma,Hockey,Silver,India,Europe,Asia,Ball
M,28,213,110,1996,Summer,Atlanta,Basketball,Silver,Serbia,North America,Europe,Ball
M,22,200,100,1976,Summer,Montreal,Rowing,Silver,Russia,North America,Europe,Boat
M,28,178,104,2012,Summer,London,Judo,Silver,Others,Europe,Asia,Combat
F,33,165,57,2006,Winter,Torino,MultiSport Race,Gold,Russia,Europe,Europe,Race
M,20,168,60,2016,Summer,Rio de Janeiro,Others,Gold,China,South America,Asia,Water
M,24,175,72,1972,Summer,Munich,Football,Bronze,Germany,Europe,Europe,Ball
M,28,178,78,1968,Summer,Mexico City,Football,Gold,Hungary,North America,Europe,Ball
M,21,184,76,1988,Summer,Seoul,Canoeing,Bronze,France,Asia,Europe,Boat
M,22,182,70,1976,Summer,Montreal,Swimming,Bronze,Germany,North America,Europe,Water
F,19,185,78,2012,Summer,London,Fencing,Bronze,China,Europe,Asia,Combat
M,16,171,55,1960,Summer,Roma,Rowing,Gold,Germany,Europe,Europe,Boat
M,26,187,82,2008,Summer,Beijing,Track&Field,Gold,Australia,Asia,Oceania,Race
M,22,170,74,1996,Summer,Atlanta,Football,Gold,Others,North America,Africa,Ball
M,36,193,88,2000,Summer,Sydney,Fencing,Silver,France,Oceania,Europe,Combat
F,25,174,52,1994,Winter,Lillehammer,MultiSport Race,Bronze,France,Europe,Europe,Race
M,23,185,76,1936,Summer,others,Track&Field,Bronze,Germany,Europe,Europe,Race
M,23,180,75,2004,Summer,Athina,Canoeing,Bronze,Germany,Europe,Europe,Boat
M,27,178,62,1992,Summer,Barcelona,Track&Field,Gold,Germany,Europe,Europe,Race
M,27,195,95,2016,Summer,Rio de Janeiro,Handball,Gold,Denmark,South America,Europe,Ball
M,26,181,90,1988,Summer,Seoul,Wrestling,Bronze,South Korea,Asia,Asia,Combat
M,22,186,77,2012,Summer,London,Football,Bronze,South Korea,Europe,Asia,Ball
F,23,181,92,1976,Summer,Montreal,Rowing,Silver,Russia,North America,Europe,Boat
F,23,172,71,1976,Summer,Montreal,Canoeing,Gold,Russia,North America,Europe,Boat
F,23,169,53,1980,Summer,Moskva,Track&Field,Silver,Germany,Europe,Europe,Race
F,20,165,60,1980,Summer,Moskva,Swimming,Bronze,Denmark,Europe,Europe,Water
M,22,182,80,1988,Summer,Seoul,Football,Silver,Brazil,Asia,South America,Ball
M,25,190,86,1996,Summer,Atlanta,Swimming,Bronze,Russia,North America,Europe,Water
F,25,175,70,1992,Summer,Barcelona,Canoeing,Gold,Germany,Europe,Europe,Boat
M,26,184,75,2004,Summer,Athina,Fencing,Gold,France,Europe,Europe,Combat
M,24,173,71,1976,Summer,Montreal,Hockey,Silver,Australia,North America,Oceania,Ball
M,27,170,57,1972,Summer,Munich,Boxing,Silver,Others,Europe,Africa,Combat
F,23,171,77,2000,Summer,Sydney,Cycling,Silver,Australia,Oceania,Oceania,Others
M,31,175,93,1996,Summer,Atlanta,Others,Gold,Cuba,North America,North America,Ball
F,35,170,75,2006,Winter,Torino,Hockey,Gold,Canada,Europe,North America,Ice
M,27,183,82,1976,Winter,Innsbruck,Hockey,Silver,Czech Republic,Europe,Europe,Ice
M,34,185,78,2008,Summer,Beijing,Cycling,Silver,Spain,Asia,Europe,Others
M,17,176,74,1984,Summer,Los Angeles,Swimming,Gold,Australia,North America,Oceania,Water
M,25,168,62,1976,Summer,Montreal,Wrestling,Silver,Others,North America,Asia,Combat
F,22,165,62,2014,Winter,Sochi,Skating,Gold,China,Europe,Asia,Ice
M,30,184,73,1968,Summer,Mexico City,Track&Field,Bronze,Germany,North America,Europe,Race
M,20,166,60,1972,Summer,Munich,Boxing,Bronze,Hungary,Europe,Europe,Combat
M,25,166,63,1988,Summer,Seoul,Others,Silver,China,Asia,Asia,Target
M,23,173,66,1988,Winter,Calgary,MultiSport Race,Silver,Russia,North America,Europe,Race
M,27,182,73,2012,Summer,London,Rowing,Bronze,Denmark,Europe,Europe,Boat
M,18,184,76,1968,Summer,Mexico City,Swimming,Bronze,Australia,North America,Oceania,Water
M,23,177,76,1960,Summer,Roma,Cycling,Bronze,Russia,Europe,Europe,Others
M,37,200,108,2004,Summer,Athina,Others,Silver,Australia,Europe,Oceania,Ball
F,37,163,56,2012,Summer,London,Equestrianism,Silver,Sweden,Europe,Europe,Others
M,25,180,97,2008,Summer,Beijing,Wrestling,Bronze,Others,Asia,Asia,Combat
M,35,170,73,1956,Winter,others,Hockey,Gold,Russia,Europe,Europe,Ice
M,22,185,85,1976,Summer,Montreal,Water Polo,Bronze,Netherlands,North America,Europe,Water
M,21,180,80,1984,Summer,Los Angeles,Canoeing,Bronze,Australia,North America,Oceania,Boat
F,28,167,66,2010,Winter,Vancouver,Skiing,Bronze,Austria,North America,Europe,Snow
M,23,194,93,2016,Summer,Rio de Janeiro,Rowing,Silver,Germany,South America,Europe,Boat
F,25,160,52,1984,Summer,Los Angeles,Handball,Silver,South Korea,North America,Asia,Ball
M,22,178,73,2012,Summer,London,Football,Bronze,South Korea,Europe,Asia,Ball
M,35,180,70,2010,Winter,Vancouver,Skiing,Silver,Italy,North America,Europe,Snow
F,29,185,105,1980,Summer,Moskva,Track&Field,Silver,Bulgaria,Europe,Europe,Race
F,19,170,61,2000,Summer,Sydney,Football,Gold,Norway,Oceania,Europe,Ball
M,30,187,80,2016,Summer,Rio de Janeiro,Football,Bronze,Others,South America,Africa,Ball
M,25,178,86,1968,Winter,others,Hockey,Silver,Czech Republic,Europe,Europe,Ice
F,26,172,65,1976,Summer,Montreal,Track&Field,Silver,Russia,North America,Europe,Race
M,25,170,63,1984,Summer,Los Angeles,Hockey,Gold,Others,North America,Asia,Ball
M,24,178,73,1984,Winter,others,MultiSport Race,Gold,Germany,Europe,Europe,Race
F,26,183,62,1996,Summer,Atlanta,Swimming,Silver,Germany,North America,Europe,Water
M,30,192,87,2002,Winter,Salt Lake City,Skating,Gold,Netherlands,North America,Europe,Ice
M,23,183,72,1992,Summer,Barcelona,Cycling,Bronze,Denmark,Europe,Europe,Others
M,25,184,79,1960,Summer,Roma,Rowing,Bronze,Russia,Europe,Europe,Boat
M,18,171,66,1980,Summer,Moskva,Gymnastics,Bronze,Hungary,Europe,Europe,Acrobatic
M,23,175,76,1992,Summer,Barcelona,Others,Bronze,Japan,Europe,Asia,Ball
M,25,180,73,1924,Summer,others,Track&Field,Silver,Finland,Europe,Europe,Race
M,21,178,94,2004,Summer,Athina,Wrestling,Gold,Russia,Europe,Europe,Combat
M,21,175,69,1988,Summer,Seoul,Cycling,Bronze,Germany,Asia,Europe,Others
F,25,172,89,2008,Summer,Beijing,Track&Field,Silver,Cuba,Asia,North America,Race
F,28,169,53,2010,Winter,Vancouver,Skiing,Gold,Norway,North America,Europe,Snow
F,17,178,67,1996,Summer,Atlanta,Swimming,Bronze,Australia,North America,Oceania,Water
M,23,170,60,2008,Summer,Beijing,Wrestling,Silver,Others,Asia,Asia,Combat
F,23,178,74,2016,Summer,Rio de Janeiro,Sailing,Silver,New Zealand,South America,Oceania,Boat
M,26,175,70,1988,Summer,Seoul,Football,Bronze,Germany,Asia,Europe,Ball
M,23,185,80,2004,Summer,Athina,Football,Bronze,Italy,Europe,Europe,Ball
M,19,182,83,1952,Summer,others,Canoeing,Silver,Hungary,Europe,Europe,Boat
M,30,200,105,2008,Summer,Beijing,Basketball,Bronze,Argentina,Asia,South America,Ball
M,22,161,54,1960,Summer,Roma,Boxing,Gold,Hungary,Europe,Europe,Combat
F,23,175,62,1992,Summer,Barcelona,Fencing,Silver,Germany,Europe,Europe,Combat
F,34,181,90,2000,Summer,Sydney,Others,Gold,Sweden,Oceania,Europe,Target
M,21,177,75,1980,Summer,Moskva,Swimming,Bronze,Spain,Europe,Europe,Water
M,21,179,80,1996,Summer,Atlanta,Canoeing,Silver,Romania,North America,Europe,Boat
M,24,185,75,1988,Winter,Calgary,Skating,Silver,Austria,North America,Europe,Ice
F,26,155,53,1956,Winter,others,Skiing,Silver,Russia,Europe,Europe,Snow
M,27,176,93,1996,Summer,Atlanta,Others,Gold,Others,North America,Europe,Others
M,23,197,95,2008,Summer,Beijing,Swimming,Silver,Australia,Asia,Oceania,Water
M,20,170,70,1956,Summer,Melbourne,Gymnastics,Gold,Russia,Oceania,Europe,Acrobatic
M,25,178,74,1968,Summer,Mexico City,Wrestling,Silver,France,North America,Europe,Combat
M,24,191,115,1996,Summer,Atlanta,Track&Field,Silver,Belarus,North America,Europe,Race
M,33,167,51,2008,Summer,Beijing,Boxing,Gold,Others,Asia,Asia,Combat
M,25,180,85,1988,Summer,Seoul,Judo,Gold,Poland,Asia,Europe,Combat
M,24,186,65,1988,Summer,Seoul,Track&Field,Silver,Others,Asia,Africa,Race
M,31,181,98,2006,Winter,Torino,Others,Bronze,Switzerland,Europe,Europe,Ice
M,25,182,80,1960,Summer,Roma,Fencing,Bronze,Germany,Europe,Europe,Combat
M,33,175,67,1968,Summer,Mexico City,Track&Field,Bronze,France,North America,Europe,Race
M,22,179,107,1976,Summer,Montreal,Others,Silver,Bulgaria,North America,Europe,Others
M,26,163,51,1964,Summer,Tokyo,Rowing,Bronze,Netherlands,Asia,Europe,Boat
F,23,176,70,2012,Summer,London,Canoeing,Silver,Germany,Europe,Europe,Boat
M,28,178,80,2002,Winter,Salt Lake City,Skating,Gold,Australia,North America,Oceania,Ice
M,24,183,74,1994,Winter,Lillehammer,Skiing,Silver,Finland,Europe,Europe,Snow
M,24,176,73,1988,Winter,Calgary,Others,Gold,Germany,North America,Europe,Ice
M,24,185,77,2010,Winter,Vancouver,MultiSport Race,Silver,Norway,North America,Europe,Race
F,33,173,64,2002,Winter,Salt Lake City,Others,Bronze,Canada,North America,North America,Ice
M,23,171,61,1992,Winter,Albertville,Skiing,Silver,France,Europe,Europe,Snow
M,22,182,74,1960,Summer,Roma,Water Polo,Gold,Italy,Europe,Europe,Water
F,20,175,65,2016,Summer,Rio de Janeiro,Others,Gold,Others,South America,Europe,Target
F,17,146,39,2008,Summer,Beijing,Gymnastics,Bronze,Romania,Asia,Europe,Acrobatic
M,23,197,125,1992,Summer,Barcelona,Judo,Bronze,Hungary,Europe,Europe,Combat
F,21,164,69,2008,Summer,Beijing,Others,Silver,Russia,Asia,Europe,Others
M,23,170,54,2004,Summer,Athina,Boxing,Silver,Others,Europe,Asia,Combat
M,28,184,85,1984,Winter,others,Hockey,Bronze,Sweden,Europe,Europe,Ice
F,23,178,63,1976,Summer,Montreal,Equestrianism,Gold,Germany,North America,Europe,Others
M,25,170,72,1984,Summer,Los Angeles,Cycling,Silver,Canada,North America,North America,Others
F,26,182,75,2008,Summer,Beijing,Rowing,Silver,Netherlands,Asia,Europe,Boat
M,23,197,91,1972,Summer,Munich,Rowing,Gold,New Zealand,Europe,Oceania,Boat
M,23,171,70,2012,Summer,London,Football,Gold,Others,Europe,North America,Ball
M,52,175,70,1956,Summer,Melbourne,Sailing,Gold,Sweden,Oceania,Europe,Boat
M,26,190,76,2012,Summer,London,Volleyball,Silver,Brazil,Europe,South America,Ball
F,27,171,63,2000,Summer,Sydney,Swimming,Gold,Australia,Oceania,Oceania,Water
F,20,176,70,1988,Summer,Seoul,Swimming,Silver,Germany,Asia,Europe,Water
M,29,184,93,2008,Summer,Beijing,Canoeing,Gold,Russia,Asia,Europe,Boat
M,18,155,56,1988,Summer,Seoul,Others,Silver,South Korea,Asia,Asia,Others
M,32,180,70,1992,Winter,Albertville,Skiing,Bronze,Italy,Europe,Europe,Snow
M,28,178,79,2014,Winter,Sochi,Skiing,Bronze,Sweden,Europe,Europe,Snow
M,24,186,79,2016,Summer,Rio de Janeiro,Hockey,Silver,Others,South America,Europe,Ball
F,19,175,83,2004,Summer,Athina,Others,Silver,Czech Republic,Europe,Europe,Target
F,23,169,56,1984,Summer,Los Angeles,Track&Field,Bronze,Germany,North America,Europe,Race
F,37,160,57,1980,Winter,others,Skiing,Silver,Russia,North America,Europe,Snow
M,23,192,85,1972,Summer,Munich,Volleyball,Gold,Japan,Europe,Asia,Ball
M,24,186,82,1988,Summer,Seoul,Fencing,Gold,France,Asia,Europe,Combat
M,28,182,86,1976,Summer,Montreal,Volleyball,Bronze,Cuba,North America,North America,Ball
F,32,165,56,2008,Summer,Beijing,Football,Bronze,Germany,Asia,Europe,Ball
M,27,209,93,2016,Summer,Rio de Janeiro,Volleyball,Gold,Brazil,South America,South America,Ball
M,32,175,78,2012,Summer,London,Others,Gold,South Korea,Europe,Asia,Target
M,25,170,66,2000,Summer,Sydney,Wrestling,Silver,Bulgaria,Oceania,Europe,Combat
M,24,200,105,2016,Summer,Rio de Janeiro,Boxing,Gold,France,South America,Europe,Combat
M,26,172,68,1976,Winter,Innsbruck,Skating,Bronze,Canada,Europe,North America,Ice
M,34,175,66,1920,Summer,others,Gymnastics,Bronze,France,Europe,Europe,Acrobatic
F,19,166,60,2014,Winter,Sochi,Hockey,Bronze,Switzerland,Europe,Europe,Ice
M,23,175,70,2014,Winter,Sochi,Skating,Gold,Russia,Europe,Europe,Ice
F,19,196,85,2000,Summer,Sydney,Basketball,Silver,Australia,Oceania,Oceania,Ball
M,25,180,72,2012,Summer,London,Cycling,Bronze,Norway,Europe,Europe,Others
M,26,175,75,2004,Summer,Athina,Others,Gold,China,Europe,Asia,Ball
F,27,157,63,2008,Summer,Beijing,Others,Gold,Japan,Asia,Asia,Ball
F,21,176,69,1968,Summer,Mexico City,Fencing,Gold,Russia,North America,Europe,Combat
F,22,180,75,1980,Summer,Moskva,Volleyball,Silver,Germany,Europe,Europe,Ball
M,24,177,74,2012,Summer,London,Wrestling,Bronze,Russia,Europe,Europe,Combat
M,23,183,74,1992,Winter,Albertville,Skiing,Silver,Italy,Europe,Europe,Snow
F,24,167,60,2010,Winter,Vancouver,Skating,Gold,China,North America,Asia,Ice
M,27,174,74,1960,Summer,Roma,Fencing,Silver,Poland,Europe,Europe,Combat
F,25,172,62,1968,Summer,Mexico City,Volleyball,Bronze,Poland,North America,Europe,Ball
M,28,183,75,2014,Winter,Sochi,Skiing,Silver,Sweden,Europe,Europe,Snow
M,23,188,95,1996,Summer,Atlanta,Fencing,Bronze,Italy,North America,Europe,Combat
F,26,149,47,2008,Summer,Beijing,Others,Bronze,Others,Asia,Asia,Others
M,21,173,77,1998,Winter,Nagano,Skating,Gold,Canada,Asia,North America,Ice
M,37,186,81,1976,Summer,Montreal,Sailing,Bronze,Germany,North America,Europe,Boat
M,26,167,60,1964,Winter,Innsbruck,Skiing,Gold,France,Europe,Europe,Snow
F,30,177,63,2008,Summer,Beijing,Hockey,Gold,Netherlands,Asia,Europe,Ball
M,17,196,104,2000,Summer,Sydney,Swimming,Silver,Australia,Oceania,Oceania,Water
M,23,193,89,1960,Summer,Roma,Rowing,Silver,Canada,Europe,North America,Boat
M,27,187,85,2010,Winter,Vancouver,Skating,Silver,Russia,North America,Europe,Ice
M,27,194,93,2008,Summer,Beijing,Handball,Gold,France,Asia,Europe,Ball
M,44,168,66,1972,Summer,Munich,Sailing,Gold,Australia,Europe,Oceania,Boat
M,24,180,72,2004,Summer,Athina,Hockey,Bronze,Germany,Europe,Europe,Ball
M,21,168,58,2004,Summer,Athina,Gymnastics,Bronze,Romania,Europe,Europe,Acrobatic
M,22,183,76,1992,Summer,Barcelona,Others,Silver,Others,Europe,Africa,Ball
F,30,166,61,2014,Winter,Sochi,MultiSport Race,Silver,Russia,Europe,Europe,Race
M,26,178,80,1992,Summer,Barcelona,Others,Silver,Others,Europe,Asia,Ball
M,27,180,71,1964,Summer,Tokyo,Swimming,Silver,Russia,Asia,Europe,Water
M,27,180,78,2012,Summer,London,Judo,Gold,South Korea,Europe,Asia,Combat
F,29,171,68,1980,Summer,Moskva,Track&Field,Silver,Czech Republic,Europe,Europe,Race
M,27,186,95,1956,Summer,Melbourne,Water Polo,Gold,Hungary,Oceania,Europe,Water
F,24,157,55.5,1972,Winter,others,Skiing,Silver,Finland,Asia,Europe,Snow
F,24,169,58,2008,Summer,Beijing,Others,Bronze,Australia,Asia,Oceania,Ball
M,31,174,70,2006,Winter,Torino,MultiSport Race,Bronze,France,Europe,Europe,Race
M,18,172,57,1992,Summer,Barcelona,Boxing,Bronze,Russia,Europe,Europe,Combat
M,30,168,51,1992,Summer,Barcelona,Rowing,Silver,Germany,Europe,Europe,Boat
F,27,165,54,2004,Summer,Athina,Others,Silver,Japan,Europe,Asia,Acrobatic
M,22,189,74,2006,Winter,Torino,Skiing,Bronze,Norway,Europe,Europe,Snow
F,31,169,67,2004,Summer,Athina,Sailing,Gold,Others,Europe,Europe,Boat
M,30,185,72,1952,Summer,others,Track&Field,Silver,Jamaica,Europe,North America,Race
M,30,180,72,1968,Summer,Mexico City,Track&Field,Bronze,Russia,North America,Europe,Race
F,20,178,74,2016,Summer,Rio de Janeiro,Handball,Gold,Russia,South America,Europe,Ball
M,21,185,82,1984,Summer,Los Angeles,Track&Field,Silver,Jamaica,North America,North America,Race
M,24,183,68,1968,Summer,Mexico City,Fencing,Bronze,Poland,North America,Europe,Combat
M,23,191,81,2000,Summer,Sydney,Swimming,Silver,Australia,Oceania,Oceania,Water
F,30,188,74,2016,Summer,Rio de Janeiro,Rowing,Gold,Australia,South America,Oceania,Boat
M,19,198,92,2016,Summer,Rio de Janeiro,Volleyball,Silver,Italy,South America,Europe,Ball
M,20,170,65,2006,Winter,Torino,Skating,Bronze,South Korea,Europe,Asia,Ice
M,26,173,66,2000,Summer,Sydney,Handball,Silver,Sweden,Oceania,Europe,Ball
M,23,198,86,1972,Summer,Munich,Volleyball,Gold,Japan,Europe,Asia,Ball
F,23,167,88,2008,Summer,Beijing,Judo,Bronze,Others,Asia,Europe,Combat
M,26,180,80,1976,Summer,Montreal,Volleyball,Gold,Poland,North America,Europe,Ball
M,20,167,60,2004,Summer,Athina,Boxing,Gold,Russia,Europe,Europe,Combat
F,27,180,72,1992,Summer,Barcelona,Rowing,Bronze,Canada,Europe,North America,Boat
M,22,195,93,1948,Summer,London,Track&Field,Silver,France,Europe,Europe,Race
F,21,172,73,2010,Winter,Vancouver,Skating,Gold,Germany,North America,Europe,Ice
M,38,177,68,2012,Summer,London,Cycling,Gold,Others,Europe,Asia,Others
M,37,187,84,1998,Winter,Nagano,Skiing,Silver,Italy,Asia,Europe,Snow
M,29,173,73,1964,Summer,Tokyo,Football,Silver,Czech Republic,Asia,Europe,Ball
M,20,180,81,1996,Summer,Atlanta,Judo,Bronze,South Korea,North America,Asia,Combat
F,24,177,74,1992,Summer,Barcelona,Rowing,Gold,Canada,Europe,North America,Boat
M,23,167,63,1988,Summer,Seoul,Gymnastics,Gold,Russia,Asia,Europe,Acrobatic
F,20,175,63,1992,Summer,Barcelona,Swimming,Bronze,Germany,Europe,Europe,Water
M,25,174,80,1968,Winter,others,Hockey,Silver,Czech Republic,Europe,Europe,Ice
M,26,190,99,1992,Winter,Albertville,Others,Bronze,Switzerland,Europe,Europe,Ice
F,27,164,53,1992,Summer,Barcelona,Sailing,Gold,Spain,Europe,Europe,Boat
M,23,182,77,2006,Winter,Torino,Skiing,Gold,Russia,Europe,Europe,Snow
M,34,185,95,2006,Winter,Torino,Others,Silver,Russia,Europe,Europe,Ice
M,33,189,93,2002,Winter,Salt Lake City,Others,Gold,Germany,North America,Europe,Ice
M,31,209,94,1980,Summer,Moskva,Basketball,Gold,Serbia,Europe,Europe,Ball
M,31,174,70.5,1920,Summer,others,Wrestling,Silver,Finland,Europe,Europe,Combat
F,20,160,50,1976,Summer,Montreal,Swimming,Bronze,Germany,North America,Europe,Water
F,30,182,75,2012,Summer,London,Rowing,Bronze,Netherlands,Europe,Europe,Boat
M,27,191,91,2004,Summer,Athina,Others,Gold,South Korea,Europe,Asia,Combat
F,32,173,64,2008,Summer,Beijing,Canoeing,Silver,Hungary,Asia,Europe,Boat
M,26,180,78,1976,Summer,Montreal,Handball,Silver,Romania,North America,Europe,Ball
M,32,183,83,2004,Summer,Athina,Canoeing,Gold,Germany,Europe,Europe,Boat
M,29,171,73,1964,Summer,Tokyo,Wrestling,Bronze,Sweden,Asia,Europe,Combat
M,20,175,73,2008,Summer,Beijing,Football,Gold,Argentina,Asia,South America,Ball
M,21,182,74,1956,Summer,Melbourne,Track&Field,Bronze,Germany,Oceania,Europe,Race
M,19,192,78,1980,Summer,Moskva,Swimming,Silver,Russia,Europe,Europe,Water
M,29,190,84,2000,Summer,Sydney,Track&Field,Bronze,Russia,Oceania,Europe,Race
M,30,173,93,2000,Summer,Sydney,Others,Bronze,Italy,Oceania,Europe,Target
F,22,188,77,1988,Summer,Seoul,Volleyball,Gold,Russia,Asia,Europe,Ball
M,31,207,103,2004,Summer,Athina,Basketball,Silver,Italy,Europe,Europe,Ball
M,26,162,62,1956,Summer,Melbourne,Wrestling,Gold,Russia,Oceania,Europe,Combat
M,28,192,92,2000,Summer,Sydney,Water Polo,Silver,Russia,Oceania,Europe,Water
M,30,188,85,1992,Summer,Barcelona,Fencing,Gold,Hungary,Europe,Europe,Combat
F,30,173,72,1996,Summer,Atlanta,Judo,Silver,Japan,North America,Asia,Combat
M,28,183,79,1998,Winter,Nagano,Hockey,Silver,Russia,Asia,Europe,Ice
F,22,171,56,2004,Summer,Athina,Track&Field,Silver,Russia,Europe,Europe,Race
F,26,178,74,1992,Summer,Barcelona,Rowing,Silver,Romania,Europe,Europe,Boat
F,22,167,52,2008,Summer,Beijing,Others,Gold,China,Asia,Asia,Water
M,22,179,73,1932,Summer,Los Angeles,Track&Field,Bronze,Germany,North America,Europe,Race
M,18,177,57,2002,Winter,Salt Lake City,Skiing,Gold,Germany,North America,Europe,Snow
M,22,185,87,1988,Summer,Seoul,Canoeing,Silver,Russia,Asia,Europe,Boat
M,19,186,70,1976,Summer,Montreal,Fencing,Silver,Italy,North America,Europe,Combat
M,28,182,71,1960,Winter,others,Skating,Bronze,Netherlands,North America,Europe,Ice
M,30,176,80,1992,Winter,Albertville,Hockey,Gold,Russia,Europe,Europe,Ice
M,32,185,102,1988,Summer,Seoul,Wrestling,Gold,Romania,Asia,Europe,Combat
M,33,190,93,2008,Summer,Beijing,Others,Gold,Czech Republic,Asia,Europe,Target
F,30,175,66,1988,Summer,Seoul,Equestrianism,Bronze,Canada,Asia,North America,Others
M,32,176,75,1972,Winter,others,Skiing,Bronze,Austria,Asia,Europe,Snow
M,22,175,59,1924,Summer,others,Track&Field,Gold,Finland,Europe,Europe,Race
M,27,204,103,1984,Summer,Los Angeles,Handball,Silver,Germany,North America,Europe,Ball
F,24,189,63,2012,Summer,London,Track&Field,Bronze,Russia,Europe,Europe,Race
M,20,164,51,1980,Summer,Moskva,Boxing,Silver,Russia,Europe,Europe,Combat
M,28,196,104,2008,Summer,Beijing,Handball,Bronze,Spain,Asia,Europe,Ball
M,27,181,76,1988,Summer,Seoul,Hockey,Bronze,Netherlands,Asia,Europe,Ball
F,24,177,70,1968,Winter,others,Skiing,Bronze,Austria,Europe,Europe,Snow
M,26,175,71,1976,Summer,Montreal,Football,Silver,Poland,North America,Europe,Ball
M,24,182,69,1964,Winter,Innsbruck,Hockey,Gold,Russia,Europe,Europe,Ice
M,19,192,80,2008,Summer,Beijing,Swimming,Bronze,Canada,Asia,North America,Water
F,16,157,42,2000,Summer,Sydney,Others,Gold,China,Oceania,Asia,Water
M,26,181,82,1976,Summer,Montreal,Wrestling,Silver,Russia,North America,Europe,Combat
M,20,193,96,2004,Summer,Athina,Wrestling,Silver,Others,Europe,Asia,Combat
M,23,180,75,1996,Summer,Atlanta,MultiSport Race,Gold,Others,North America,Asia,Race
F,21,168,63,2008,Summer,Beijing,Hockey,Silver,China,Asia,Asia,Ball
M,29,179,82,1980,Summer,Moskva,Canoeing,Bronze,Bulgaria,Europe,Europe,Boat
M,22,185,88,1980,Summer,Moskva,Handball,Gold,Germany,Europe,Europe,Ball
M,23,160,54,2012,Summer,London,Gymnastics,Silver,Japan,Europe,Asia,Acrobatic
F,25,168,60,2012,Summer,London,Football,Silver,Japan,Europe,Asia,Ball
M,31,182,77,1988,Summer,Seoul,Hockey,Silver,Germany,Asia,Europe,Ball
